지역|GS칼텍스_셀프|GS칼텍스_일반|S-OIL_셀프|S-OIL_일반|SK에너지_셀프|SK에너지_일반|알뜰(ex)_셀프|알뜰주유소_셀프|알뜰주유소_일반|자가상표_셀프|자가상표_일반|현대오일뱅크_셀프|현대오일뱅크_일반
서울 강남구|1479.6282857142858|1647.3725000000002|1459.2413043478261|1641.7479166666665|1452.4554166666667|1790.7374444444447||||||1408.8225|1604.9958064516125
서울 강동구|1451.5587500000001|1472.2130555555555|1456.7633333333333|1528.7025|1457.9743589743591|1666.7816666666668||||||1412.6566666666668|1441.8616666666667
서울 강북구|1342.9916666666666|1373.801666666667|1325.8550000000002|1370.8774999999998|1375.3902439024391|1347.2625||||||1353.9858139534886|
서울 강서구|1403.7524999999996|1429.8291666666664|1420.3708333333334||1377.2336363636362|1485.694||1326.2120833333336|1313.8383333333334|||1339.8447368421052|1406.2369387755102
서울 관악구|1425.0052380952384|1472.7195833333337||1435.5754166666668|1439.986666666667|1466.670277777778||1330.8375|1390.5583333333334|||1420.11625|1453.7787499999997
서울 광진구||1409.8746666666668|1388.13375|1375.8158333333333|1468.3119999999997|1414.2591666666663|||1354.8783333333333|||1372.8342307692308|1376.6016666666665
서울 구로구|1349.3383333333334|1580.2611111111112|1348.405|1441.7338333333335||1417.5764150943392|||1385.6758333333335|||1365.5165217391307|1422.0167741935484
서울 금천구|1382.3170588235296||1383.7420833333335|1357.0991666666666||1427.9951219512195||1304.87|1372.9383333333335|||1382.1204166666666|1386.2014285714286
서울 노원구|1381.0408333333335|1459.9227777777778|1412.3377777777778||1407.6529166666667|1509.3308333333334|||||||1467.67
서울 도봉구|1358.4187500000003|1404.9166666666667|1375.6053333333336|1523.6383333333333|1349.8514634146343|1478.1899999999998||||||1388.0364516129034|1344.8477419354842
서울 동대문구|1391.8062499999999|1382.0236363636361|1329.071111111111|1429.6387499999998|1429.7971428571432|1428.1118965517242||||||1371.2641666666666|1427.3228846153845
서울 동작구|1435.4799999999998|1403.5879166666666||1413.7300000000002|1466.5300000000002|1529.8808333333336||||||1407.2638461538459|1421.7570833333332
서울 마포구||1439.4950000000001|1420.023|1603.095|1707.846|1561.9304615384617||||||1444.1571428571428|1453.2
서울 서대문구|1395.3982608695653|1386.6233333333332|1379.78625|1567.006666666667|1402.8605555555557|1444.8180487804873||||||1375.7664285714286|1376.5178947368422
서울 서초구|1462.7960869565215|1446.435069444444|1424.9855555555553|1658.78125|1437.954390243902|1617.8807865168537|1330.2366666666667|||||1402.6757142857143|1464.4206
서울 성동구|1396.7033333333336|1708.8958333333333|1355.3941666666667|1411.1625000000001|1456.6408333333331|1505.0384285714288|||||1368.819166666667|1387.6570833333333|1582.8666666666668
서울 성북구|1346.2666666666667|1383.0252777777773|1362.2138888888885|1360.8395454545453|1375.5875|1413.5911764705882|||1321.2116666666666|||1344.3617543859648|1372.5652631578948
서울 송파구|1409.8097222222225|1422.57625|1396.0683333333334|1447.74125|1415.6656097560976|1481.3950943396226||||||1404.777096774194|1424.252580645161
서울 양천구|1359.9408333333333|1374.6837500000001|1317.7066666666667||1392.0414102564102|1504.5700000000006||1344.7391666666667||||1373.0280701754384|1417.8730232558137
서울 영등포구|1408.7718750000001|1626.4695774647885|1401.168947368421|1401.51|1395.848253968254|1666.4171428571428||1343.5941666666668||||1368.888|1473.165806451613
서울 용산구||1806.4391666666668||||1907.432413793103|||||||1807.390303030303
서울 은평구|1375.4656666666665|1395.541666666667|1375.3325000000002||1375.6266666666668|1435.5819999999999||||1609.0|1443.0491666666667|1362.7524000000003|1391.8514285714286
서울 종로구||2024.4679166666665||1469.235|1434.8425|1952.1630000000002|||||||1615.33
서울 중구||2038.5137209302322||1773.4416666666666||1975.8864999999996|||1448.2308333333333||||1659.430833333333
서울 중랑구|1363.7689583333333|1350.4866666666667|1356.1330555555558|1394.3537500000002|1389.5041509433963|||||||1359.0628571428572|1338.2458333333334
